region,trending_date,category_title,videos_count
France,2018-06-10,Entertainment,68
France,2018-06-11,Entertainment,104
France,2018-06-12,Entertainment,114
France,2018-06-13,Entertainment,98
France,2018-06-14,Entertainment,110
France,2017-11-14,Film & Animation,16
France,2017-11-15,Film & Animation,18
France,2017-11-16,Film & Animation,18
France,2017-11-17,Film & Animation,26
France,2017-11-18,Film & Animation,18
France,2017-11-19,Film & Animation,26
France,2017-11-20,Film & Animation,20
France,2017-11-21,Film & Animation,24
France,2017-11-22,Film & Animation,32
France,2017-11-23,Film & Animation,22
France,2017-11-24,Film & Animation,14
France,2017-11-25,Film & Animation,16
France,2017-11-26,Film & Animation,22
France,2017-11-27,Film & Animation,22
France,2017-11-28,Film & Animation,20
France,2017-11-29,Film & Animation,14
